0x0046c85c	このﾌﾟﾛｸﾞﾗﾑは欠落ｴｸｽﾎﾟｰﾄ %s にﾌｧｲﾙ %s 内でﾘﾝｸされています。このｺﾝﾋﾟｭｰﾀは互換性のないﾊﾞｰｼﾞｮﾝの %s を含んでいる可能性があります。
0x0046c90c	
0x0046c910	
0x0046c912	
0x0046c914	
0x0046c916	
0x0046c918	
0x0046c91a	
0x0046c91c	
0x0046c91e	
0x0046c920	
0x0046c922	
0x0046c924	
0x0046c926	
0x0046c928	書き込み専用ﾌﾟﾛﾊﾟﾃｨからは読み取れません。
0x0046c95a	読み取り専用ﾌﾟﾛﾊﾟﾃｨには書き込めません。
0x0046c98a	
0x0046c98c	
0x0046c990	予期しないﾌｧｲﾙ形式です。
0x0046c9ae	%1\nこのﾌｧｲﾙが見つかりません。\nﾊﾟｽとﾌｧｲﾙ名が正しいかどうか確認してださい。
0x0046ca08	出力先のﾃﾞｨｽｸ ﾄﾞﾗｲﾌﾞの空き容量が不足しています。
0x0046ca46	%1 は使用中のため、読み取れません。
0x0046ca6e	%1 は使用中または読み取り専用のため、書き込めません。
0x0046caa8	%1 の読み取り中に予期しないｴﾗｰが発生しました。
0x0046cade	%1 の書き込み中に予期しないｴﾗｰが発生しました。
0x0046cb14	
0x0046cb16	
0x0046cb18	
0x0046cb1a	
0x0046cb1c	
0x0046cb1e	
0x0046cb20	
0x0046cb22	
0x0046cb24	
0x0046cb28	整数を入力してください。
0x0046cb42	数字を入力してください。
0x0046cb5c	%1 から %2 までの整数を入力してください。
0x0046cb8e	%1 から %2 までの数字を入力してください。
0x0046cbc0	%1 文字以内で入力してください。
0x0046cbe4	ﾎﾞﾀﾝを選択してください。
0x0046cc02	0 から 255 までの整数を入力してください。
0x0046cc34	正の整数を入力してください。
0x0046cc52	日付/時刻を入力してください。
0x0046cc72	通貨型を入力してください。
0x0046cc8e	
0x0046cc90	
0x0046cc92	
0x0046cc94	
0x0046cc96	
0x0046cc98	
0x0046cca0	ｴﾗｰはありませんでした。
0x0046ccbc	%1 へのｱｸｾｽ中に不明なｴﾗｰが発生しました。
0x0046ccf0	%1 が見つかりませんでした。
0x0046cd10	%1 には無効なﾊﾟｽが含まれています。
