0x0044f748	[mtReceiveBuffer] read_lock: multiply locked\n\n
0x0044f778	[mtReceiveBuffer] read_unlock: not locked\n\n
0x0044f7b0	 \t-\r]
0x00507260	Dialog
0x005073e2	StringFileInfo
0x00507406	041104b0
0x0050741e	Comments
0x00507436	CompanyName
0x00507450	ボーステック株式会社／株式会社マイクロビジョン
0x00507486	FileDescription
0x005074a8	銀英伝VIIアップデートクライアント
0x005074d6	FileVersion
0x005074f0	1, 0, 0, 0
0x0050750e	InternalName
0x0050752e	LegalCopyright
0x0050754c	(C) 2004 MicroVision,Inc.
0x00507586	LegalTrademarks
0x005075ae	OriginalFilename
0x005075d6	PrivateBuild
0x005075f6	ProductName
0x00507610	銀河英雄伝説VIIアップデートクライアント
0x00507642	ProductVersion
0x00507660	1, 0, 0, 0
0x0050767e	SpecialBuild
0x0050769e	VarFileInfo
0x005076be	Translation
0x00507f88	GroupIcon
0x005087a0	Dialog
0x00508c00	
0x00508c02	銀河英雄伝説VIIアップデータ
0x00508c22	GIN7 UPDATE CLIENT
0x00508c48	%supdate.ini
0x00508c62	閉じる
0x00508c6a	ｷｬﾝｾﾙ
0x00508c76	ＭＳ Ｐゴシック
0x00508c88	サーバー接続中
0x00508c98	ファイルダウンロード
0x00508cae	ダウンロード完了
0x00508cc0	\r\n\r\nダウンロードが終了しました
0x00508ce4	アップデート失敗
0x00508cf6	\r\n\r\nアップデートに失敗しました
0x00508d1a	作業が中断されました
